title,subject
The Jungle Book,"Children's fiction,Mowgli (fictitious character), fiction,India, fiction,Jungle animals, fiction,Jungles, fiction,Picture books,Children, fiction,Jungle animals,Graphic novels,Jungles,Comic books, strips,Feral children,Fiction,History,Juvenile fiction,Mongooses,Children's stories"
The smartest giant in town,"Giants,Juvenile fiction,Pictorial works,Fiction,Kindness,Clothing and dress,Children's fiction,Giants, fiction,Picture books,Stories in rhyme,Bilderbuch,Dank,Freigebigkeit,Hilfsbereitschaft,Kleidung,Riese,Tiere,Accessible book,Protected DAISY"
What the Ladybird Heard,"Fiction,Animal sounds,Robbers and outlaws,Ladybugs,Stories in rhyme,Domestic animals,Juvenile fiction,Thieves,Children's fiction,Domestic animals, fiction,Sound, fiction,Animals, habits and behavior, fiction,Picture books,Animals, fiction,Accessible book,Protected DAISY"
Oxford Reading Tree,"Shopping, fiction,Sports, fiction,Picture books,Readers,English language, juvenile literature,Pets, fiction,Friendship, fiction,Parks, fiction,Clothing and dress, fiction,Dogs, fiction,Behavior, fiction,Mothers, fiction,Short stories,Children's fiction,Language and languages"
Caps for Sale,"Blind,Hats,Peddlers,Peddlers and peddling,Children: Kindergarten,Monkeys,Books and reading,Accessible book,Protected DAISY,folk tales,Juvenile fiction,picture books"
Blueberries for Sal,"Maine, fiction,Blueberries,Conduct of life,Picture books,Bears,Accessible book,Fiction,Parents,Berries,JUVENILE FICTION,Accelerated Reader 3.8.,Picture books for children,Animals,Mothers,Parent and child,Classics,Children's fiction,Juvenle fiction,Family,Bears, fiction,Mother and child, fiction,Juvenile fiction,Protected DAISY,Mothers and daughters,Children"
The mixed-up chameleon,"art,Lizards, fiction,Toy and movable books,Accessible book,Zoo animals,Fiction,Juvenile literature,Aprobación de sí mismo,Parques zoológicos,picture books,Specimens,Zoos,Animales zoológicos,Readers (Primary),Ficción juvenil,Camaleones,Self-acceptance,Children's fiction,Juvenile fiction,Chameleons,Protected DAISY,children's fiction"
The Tiny Seed,"Plants,Development,Protected DAISY,Picture books,Plants -- Juvenile literature,Seeds -- Dispersal -- Juvenile literature,Plant propagation,Plant life cycles -- Juvenile literature,Juvenile fiction,Seeds, juvenile literature,Plant life cycles,Dispersal,Fiction,Flowers, fiction,Accessible book,Seeds,Seeds -- Juvenile literature,Plants, juvenile literature,Juvenile literature,Children's fiction,Seeds -- Dispersal"
Stone soup,"Picture books,Vocabulary,Readers,Soups,Juvenile fiction,Spanish language,Fiction,Novela juvenil,Folklore,Protected DAISY,Juvenile literature,Accessible book,History"
We're Going on a Bear Hunt,"Picture books,Hunting,Bears,Juvenile fiction,Board books,Fiction,Bears, fiction,Accessible book,Hunting, fiction,Protected DAISY,Children's fiction"
Keeping up with Cheetah,"picture book,Chinese,Animals, fiction,Juvenile fiction,Protected DAISY,bilingualism,Fiction,Accessible book,picture books,bilingual,English,Cheetah,Friendship,Children's fiction,Hippopotamus"
Growing Vegetable Soup,"Vegetable gardening,Picture books,Accessible book,Children's books,Fiction,Huertos,Sopas,Materiales en espanol,Juvenile literature,Gardening, fiction,Children's fiction,Spanish language, readers,Novela,Spanish language materials,Soups,Ficción juvenil,Spanish language, juvenile literature,Food, fiction,Gardening,Juvenile fiction,Spanish language,Protected DAISY,Vegetable gardening, fiction"
Winnie and Wilbur,"Readers,Witches, fiction,Adventure and adventurers, fiction,Children's fiction,Picture books"
The Swirling Hijaab,"hijab,hijaab,children's fiction,juvenile fiction,bilingualism,picture book,picture books,Islam,Muslim faith,Persian language materials,Muslim girls,Costume,Bilingual,Fiction,Arabic language materials,Costume -- Fiction.,Arabic language materials -- Bilingual.,Islamic clothing and dress,Women's clothing,Imagination,Portuguese language materials,Mother and child,Muslims, fiction,Clothing and dress, fiction,Children's fiction,Juvenile fiction,Pushtu language materials,Malay language materials,Accessible book,Protected DAISY"
Alexander and the wind-up mouse,"Protected DAISY,Magic,Picture books,Lizards,Juvenile fiction,Mice, fiction,Fiction,Accessible book,Children's stories,Toys,Mice,Mechanical toys,Friendship,Children's fiction"
The littlest angel,"Picture books,Toy and movable books,Angels,Accessible book,Christmas stories,Fiction,Juvenile literature,Protected DAISY,Specimens,Christmas"
Bread and jam for Frances,"Food habits, fiction,Food habits -- Fiction,Protected DAISY,Picture books,Food, fiction,Accessible book,Food habits,Frances (Fictitious character : Hoban),Fiction,Badgers -- Fiction,Juvenile fiction,Easy reading materials,Palmyra Church of the Brethren,Children: Babies Toddlers,Children's fiction,Badgers, fiction,Spanish language materials,Badgers"
Ask Mr. Bear,"Chidren's literature,Picture books,Bears,Juvenile fiction,Birthdays,Fiction,Accessible book,Protected DAISY,Animals,Cumulative books,Specimens,Bears -- Juvenile fiction"
Fables,"Fábulas estadounidenses,Conduct of life,Picture books,Readers,Accessible book,Fiction,American Fables,Fables amřicaines,Animales,Cuentos infantiles estadounidenses,Romans, nouvelles, etc. pour la jeunesse,Fables,Animaux,1981,Virtues,Caldecott Medal,Animals,Children's stories, American,Fables, American,Ficción juvenil,Picture book,Juvenile fiction,Histoires pour enfants amřicaines,Spanish language,Protected DAISY,Caldecott Medal books,Vices"
"Histoire de Babar, le petit éléphant","Elephants, fiction,Picture books,Elephants,French language,Juvenile fiction,Readers,Fiction,Babar (fictitious character), fiction,Accessible book,Folklore,Protected DAISY,Children's fiction"
